epoch,accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.12713630497455597,5.128764629364014,0.33597332239151,0.1847507357597351,2.3920226097106934,0.44086021184921265
1,0.15027093887329102,4.620563983917236,0.3849520683288574,0.18963831663131714,2.406803607940674,0.4301075339317322
2,0.1623593121767044,4.535747051239014,0.39453938603401184,0.19648094475269318,2.395590305328369,0.47800585627555847
3,0.16048353910446167,4.515878677368164,0.3951646387577057,0.19550342857837677,2.4085285663604736,0.4652981460094452
0,0.12234264612197876,5.127485752105713,0.3234681189060211,0.2013685256242752,2.373077630996704,0.47605082392692566
1,0.14568570256233215,4.6209716796875,0.37807419896125793,0.19354838132858276,2.4044406414031982,0.42521995306015015
2,0.1531888246536255,4.527141571044922,0.3847436308860779,0.2023460417985916,2.3759114742279053,0.4877810478210449
3,0.14839516580104828,4.546689987182617,0.3851604759693146,0.15933528542518616,2.4416275024414062,0.3792766332626343
4,0.1402667760848999,4.535258769989014,0.3678615987300873,0.22091886401176453,2.413093328475952,0.45650050044059753
5,0.15256357192993164,4.544444561004639,0.39078783988952637,0.17008797824382782,2.449525833129883,0.4516128897666931
6,0.18361817300319672,4.523940563201904,0.420383483171463,0.20918865501880646,2.456648111343384,0.5425220131874084
7,0.1973739117383957,4.532286643981934,0.4299708306789398,0.2492668628692627,2.472412347793579,0.45747801661491394
8,0.22134222090244293,4.5309343338012695,0.40975406765937805,0.22971652448177338,2.4716176986694336,0.38807427883148193
Stage1-Head,1,1.8500,1.2264,0.5256,0.7996,0.7747,0.9580,1.00e-03
Stage1-Head,2,1.2542,1.1295,0.7203,0.8143,0.9298,0.9629,2.00e-03
Stage1-Head,3,1.2238,1.1434,0.7245,0.8123,0.9358,0.9589,3.00e-03
Stage1-Head,4,1.2381,1.1424,0.7241,0.8172,0.9296,0.9687,2.97e-03
Stage1-Head,5,1.2064,1.1046,0.7316,0.8328,0.9400,0.9648,2.90e-03
Stage1-Head,6,1.1922,1.1142,0.7466,0.8338,0.9387,0.9717,2.78e-03
Stage1-Head,7,1.1827,1.0978,0.7526,0.8211,0.9471,0.9736,2.61e-03
Stage1-Head,8,1.1533,1.0658,0.7705,0.8456,0.9483,0.9736,2.40e-03
Stage1-Head,9,1.1424,1.0660,0.7657,0.8534,0.9506,0.9736,2.17e-03
Stage1-Head,10,1.1340,1.0662,0.7726,0.8553,0.9531,0.9707,1.91e-03
Stage1-Head,11,1.1109,1.0391,0.7820,0.8563,0.9541,0.9775,1.64e-03
Stage1-Head,12,1.1052,1.0427,0.7864,0.8475,0.9544,0.9756,1.36e-03
Stage1-Head,13,1.0899,1.0332,0.7903,0.8612,0.9579,0.9795,1.09e-03
Stage1-Head,14,1.0733,1.0279,0.8026,0.8563,0.9625,0.9746,8.31e-04
Stage1-Head,15,1.0515,1.0206,0.8112,0.8680,0.9635,0.9804,5.96e-04
Stage1-Head,16,1.0562,1.0212,0.8051,0.8573,0.9644,0.9785,3.91e-04
Stage1-Head,17,1.0479,1.0134,0.8108,0.8680,0.9664,0.9746,2.25e-04
Stage1-Head,18,1.0278,1.0113,0.8220,0.8661,0.9727,0.9775,1.01e-04
Stage1-Head,19,1.0332,1.0099,0.8147,0.8573,0.9679,0.9804,2.55e-05
Stage1-Head,20,1.0291,1.0085,0.8197,0.8719,0.9696,0.9785,3.00e-10
